,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
786,Rodrigo Muniz,FW,br BRA,24.0,Fulham,eng Premier League,964,10.7,8,0,5.8,5.8,1,0.7,39,19,0.21,0.42,48.7,12.0,7,1.5899999999999999,0.19,64.8,6,157,311,2,55,31,24,237,67,0,51.5,10,15
787,Rodrygo,"FW,MF",br BRA,24.0,Real Madrid,es La Liga,1928,21.4,6,0,3.9,4.0,5,2.9999999999999996,54,20,0.11,0.3,37.0,16.4,49,4.95,0.42,85.9,113,889,1340,2,127,253,15,1068,7,16,30.4,21,32
789,Romain Del Castillo,FW,fr FRA,29.0,Brest,fr Ligue 1,1259,14.0,6,3,1.5,4.7,4,3.4,17,8,0.18,0.38,47.1,19.7,37,4.79,0.64,69.8,29,438,840,9,41,106,17,565,8,13,40.0,31,37
791,Romelu Lukaku,FW,be BEL,32.0,Napoli,it Serie A,2843,31.6,14,3,9.8,13.0,10,4.0,60,20,0.18,0.55,33.3,14.3,35,2.4,0.51,71.0,31,380,725,2,143,219,53,589,42,3,42.9,4,5
793,Ruben Vargas,"FW,MF",ch SUI,26.0,"Sevilla, Augsburg","es La Liga, de Bundesliga",976,10.9,2,0,1.5944954128440365,1.5944954128440365,1,0.7688073394495412,26,6,0.07846153846153846,0.3333333333333333,23.065384615384612,14.803846153846154,19,4.422018348623853,0.27522935779816515,72.65933456561923,38,295,541,1,42,87,13,368,10,8,48.36666666666666,9,14
794,Rubén García,"FW,MF",es ESP,31.0,Osasuna,es La Liga,2413,26.8,5,0,3.2,3.2,5,3.6,27,10,0.19,0.5,37.0,16.1,49,3.88,0.45,74.3,37,779,1467,11,64,157,21,969,28,34,43.1,52,67
799,Rémy Cabella,"FW,MF",fr FRA,35.0,Lille,fr Ligue 1,1011,11.2,1,0,4.0,4.0,2,2.3,30,7,0.029999999999999995,0.14,23.3,14.7,26,5.33,0.53,82.4,45,546,900,10,51,130,10,667,3,14,27.3,39,47
801,Sammie Szmodics,"FW,MF",ie IRL,29.0,Ipswich Town,eng Premier League,992,11.0,4,0,3.4,3.4,0,0.2,21,12,0.19,0.33,57.10000000000001,14.0,5,0.91,0.0,74.1,16,179,318,2,33,47,17,193,6,19,35.3,16,22
804,Samuel Chukwueze,"FW,MF",ng NGA,26.0,Milan,it Serie A,925,10.3,3,0,2.7,2.7,2,3.0,32,8,0.09,0.38,25.0,19.5,27,4.77,0.19,75.8,48,369,556,4,54,116,11,406,6,14,37.5,17,19
806,Samuel Essende,FW,cd COD,27.0,Augsburg,de Bundesliga,1636,18.2,7,0,4.2,4.2,2,1.3,44,13,0.16,0.54,29.5,13.9,11,1.48,0.16,64.8,33,347,564,3,93,118,37,433,57,1,43.8,7,7
810,Sandro Ramírez,"FW,MF",es ESP,29.0,Las Palmas,es La Liga,2034,22.6,9,1,3.3,4.1,3,3.4,51,20,0.16,0.4,39.2,24.3,28,2.61,0.27,64.2,52,469,930,4,64,121,28,575,12,17,42.9,27,43
811,Santiago Castro,FW,ar ARG,20.0,Bologna,it Serie A,2294,25.5,8,0,6.9,7.7,4,2.9,62,20,0.13,0.4,32.3,15.8,28,2.71,0.43,76.8,17,428,722,5,101,136,64,519,37,11,35.2,18,21
813,Santiago Pierotti,FW,ar ARG,24.0,Lecce,it Serie A,1937,21.5,4,0,3.1,3.1,2,2.4,32,7,0.13,0.57,21.9,15.1,25,2.32,0.09,71.3,43,353,730,6,81,85,33,406,49,28,44.5,46,60
817,Sebastian Nanasi,"MF,FW",se SWE,23.0,Strasbourg,fr Ligue 1,2107,23.4,6,0,6.5,6.5,4,4.9,28,12,0.21,0.5,42.9,12.4,37,3.63,0.7299999999999999,79.2,53,557,992,2,73,127,15,690,3,14,21.4,20,27
818,Sebastiano Esposito,"FW,MF",it ITA,22.0,Empoli,it Serie A,2331,25.9,8,1,4.2,5.7,0,2.1,59,19,0.12,0.37,32.2,19.8,36,3.05,0.23,60.2,31,565,1081,11,95,106,50,712,26,17,31.7,57,69
820,Serge Gnabry,"FW,MF",de GER,29.0,Bayern Munich,de Bundesliga,1242,13.8,7,0,6.8,7.5,5,5.1,48,17,0.15,0.41,35.4,15.699999999999998,24,4.06,0.94,83.4,44,468,758,7,96,149,7,581,4,4,28.6,20,26
822,Sergi Darder,"MF,FW",es ESP,31.0,Mallorca,es La Liga,2744,30.5,2,0,2.1,2.1,6,3.7,36,9,0.060000000000000005,0.22,25.0,24.2,54,3.15,0.23,75.3,37,911,1558,9,29,83,30,1030,13,29,56.5,40,56
824,Sergio Camello,FW,es ESP,24.0,Rayo Vallecano,es La Liga,1134,12.6,3,0,4.1,4.1,2,2.0,32,9,0.09,0.33,28.1,16.3,19,3.02,0.4,78.7,20,222,398,2,46,68,23,308,11,2,29.699999999999996,9,13
826,Serhou Guirassy,FW,gn GUI,29.0,Dortmund,de Bundesliga,2598,28.9,21,3,19.6,22.7,4,3.9,86,33,0.21,0.55,38.4,12.1,25,1.84,0.35,72.7,25,528,965,3,160,128,30,747,109,3,52.9,7,11
827,Shavy Babicka,"MF,FW",ga GAB,24.0,Toulouse,fr Ligue 1,1186,13.2,4,0,3.9,3.9,2,1.6,20,9,0.2,0.44,45.0,14.6,13,2.2,0.38,67.1,36,273,428,4,53,122,18,300,7,11,29.200000000000003,21,24
828,Sheraldo Becker,"FW,MF",sr SUR,30.0,Real Sociedad,es La Liga,995,11.1,2,0,2.0,2.0,1,2.0,22,13,0.09,0.15,59.1,19.1,8,1.9000000000000001,0.09,63.9,51,242,384,0,36,110,4,300,7,2,30.399999999999995,3,4
830,Shuto Machino,"FW,MF",jp JPN,25.0,Holstein Kiel,de Bundesliga,1953,21.7,11,2,4.9,6.499999999999999,2,3.0,49,21,0.18,0.43,42.9,17.2,27,3.41,0.4099999999999999,64.2,30,449,899,1,63,108,20,581,27,10,39.1,8,15
833,Simon Adingra,"FW,MF",ci CIV,23.0,Brighton,eng Premier League,1097,12.2,2,0,2.5,2.5,2,2.5,33,8,0.06,0.25,24.2,17.0,16,3.8600000000000003,0.57,75.9,50,366,548,5,76,136,12,388,7,16,63.6,23,31
837,Sofiane Diop,"MF,FW",fr FRA,24.0,Nice,fr Ligue 1,1064,11.8,6,0,6.000000000000001,6.000000000000001,4,2.9,22,11,0.27,0.55,50.0,16.4,24,3.9800000000000004,0.7599999999999999,77.2,26,399,714,4,35,70,18,508,3,13,27.3,23,40
839,Son Heung-min,FW,kr KOR,32.0,Tottenham,eng Premier League,2110,23.4,7,1,5.6,7.2,9,8.2,55,24,0.11,0.25,43.6,17.0,50,4.99,0.64,78.9,96,761,1134,6,122,265,32,867,6,22,33.3,17,22
840,Sorba Thomas,"FW,MF",wls WAL,25.0,Nantes,fr Ligue 1,1321,14.7,1,0,1.4999999999999998,1.4999999999999998,3,3.7,9,1,0.11,1.0,11.1,17.0,36,3.68,0.41,65.5,41,372,674,2,20,93,25,427,7,8,29.2,14,23
843,Stephy Mavididi,FW,eng ENG,26.0,Leicester City,eng Premier League,1615,17.9,4,0,1.8,1.8,1,2.6,26,7,0.15,0.57,26.9,16.1,22,2.78,0.39,75.0,91,583,863,8,61,138,35,623,9,28,37.5,34,45
846,Steven Skrzybski,"MF,FW",de GER,32.0,Holstein Kiel,de Bundesliga,1323,14.7,6,1,2.7,3.5,3,2.9,32,12,0.16,0.42,37.5,20.2,22,3.47,0.34,70.0,17,313,619,6,45,71,22,398,6,17,24.0,19,30
849,Sávio,"FW,MF",br BRA,21.0,Manchester City,eng Premier League,1766,19.6,1,0,5.0,5.0,8,6.9,55,21,0.02,0.05,38.2,17.6,46,5.66,0.76,80.8,137,783,1095,8,154,246,38,852,1,9,33.3,23,29
855,Takefusa Kubo,"MF,FW",jp JPN,23.0,Real Sociedad,es La Liga,2372,26.4,5,0,3.6,3.6,0,4.5,43,14,0.12000000000000001,0.36,32.6,16.1,45,4.33,0.3,72.1,133,878,1341,9,118,218,48,988,11,24,36.7,31,48
856,Takuma Asano,"FW,MF",jp JPN,30.0,Mallorca,es La Liga,1054,11.7,2,0,2.7,2.7,1,0.7,28,8,0.07,0.25,28.6,13.6,6,1.88,0.17,67.6,28,207,356,1,53,76,12,226,5,5,16.1,13,19
857,Takumi Minamino,"MF,FW",jp JPN,30.0,Monaco,fr Ligue 1,2231,24.8,6,0,8.9,8.9,3,6.6,57,20,0.11000000000000001,0.3,35.1,14.7,40,3.23,0.28,70.7,51,567,1016,12,135,193,23,709,19,27,38.8,33,43
858,Tammy Abraham,FW,eng ENG,27.0,"Roma, Milan",it Serie A,1184,13.1,3,1,5.400000000000001,7.1,4,2.2,26,11,,,,,14,2.5099999999999993,0.6800000000000002,68.41725067385444,8,161,371,5,58,71,13,245,37,3,54.59000000000001,17,19
859,Tanguy Coulibaly,"FW,MF",fr FRA,24.0,Montpellier,fr Ligue 1,1485,16.5,3,0,3.5,3.5,0,1.3,30,13,0.1,0.23,43.3,15.4,18,2.9,0.19,78.5,48,328,583,4,65,97,31,370,19,19,45.2,32,43
861,Tete Morente,"FW,MF",es ESP,28.0,Lecce,it Serie A,2021,22.5,3,0,2.9,2.9,2,1.6,41,13,0.07,0.23,31.700000000000003,20.8,25,2.72,0.18,74.8,48,560,983,6,40,144,15,643,37,26,61.7,27,41
862,Teun Koopmeiners,"MF,FW",nl NED,27.0,Juventus,it Serie A,1994,22.2,3,0,3.9,3.9,3,2.9,42,10,0.07,0.3,23.8,18.2,38,2.84,0.14,79.9,32,591,1170,7,50,127,16,790,22,20,50.0,32,40
863,Theo Bair,FW,ca CAN,25.0,Auxerre,fr Ligue 1,939,10.4,2,0,3.0,3.0,1,1.2,26,13,0.08,0.15,50.0,13.2,10,1.6299999999999997,0.19,62.0,15,143,306,1,50,42,7,218,55,2,54.5,4,7
865,Thiago Almada,"MF,FW",ar ARG,24.0,Lyon,fr Ligue 1,951,10.6,1,0,2.0,2.0,4,2.6,23,5,0.04,0.2,21.7,20.5,22,4.92,1.04,84.9,38,568,831,2,31,50,9,652,1,14,33.3,14,21
866,Thierno Barry,FW,fr FRA,22.0,Villarreal,es La Liga,2323,25.8,11,1,11.700000000000001,12.5,4,2.8999999999999995,71,24,0.14,0.42,33.8,12.0,23,1.78,0.23,62.0,44,347,624,4,126,124,27,485,99,6,67.3,11,11
867,Thijs Dallinga,FW,nl NED,24.0,Bologna,it Serie A,1154,12.8,3,0,4.3,4.3,2,0.6,31,11,0.1,0.27,35.5,11.6,12,2.11,0.39000000000000007,71.7,9,243,439,6,65,84,22,343,41,0,53.20000000000001,10,11
869,Thomas Müller,"MF,FW",de GER,35.0,Bayern Munich,de Bundesliga,1225,13.6,1,0,3.8000000000000003,3.8000000000000003,4,2.9,30,11,0.029999999999999995,0.09,36.7,15.9,35,5.36,0.66,75.0,24,386,763,3,103,143,20,619,19,12,39.6,8,10
870,Tiago Tomás,"FW,MF",pt POR,22.0,Wolfsburg,de Bundesliga,1884,20.9,6,0,5.4,5.4,1,2.6,42,20,0.14,0.3,47.6,16.0,20,2.63,0.38,69.3,31,503,782,7,78,125,35,556,9,20,23.1,33,42
873,Tim Kleindienst,FW,de GER,29.0,Gladbach,de Bundesliga,2737,30.4,16,1,11.9,13.600000000000001,7,6.2,73,36,0.21,0.42,49.3,12.9,29,2.24,0.46,60.89999999999999,45,545,1149,9,137,145,42,797,149,25,54.8,30,42
874,Tim Skarke,"FW,MF",de GER,28.0,Union Berlin,de Bundesliga,1164,12.9,0,0,2.1,2.1,2,1.2,20,9,0.0,0.0,45.0,18.5,16,2.63,0.31,70.0,26,293,487,1,31,96,21,336,10,9,20.0,14,19
876,Timothy Weah,"DF,FW",us USA,25.0,Juventus,it Serie A,1638,18.2,5,0,3.4,3.4,2,1.6,21,9,0.24,0.56,42.9,20.3,19,1.9800000000000002,0.16,83.7,45,565,977,8,35,120,15,652,19,11,44.2,36,50
878,Tom Bischof,"MF,FW",de GER,19.0,Hoffenheim,de Bundesliga,2559,28.4,5,0,2.2,2.2,2,3.6,51,18,0.1,0.28,35.3,23.1,50,4.12,0.25,78.7,47,962,1951,14,46,102,38,1146,14,37,42.4,95,125
882,Tomáš Suslov,"MF,FW",sk SVK,22.0,Hellas Verona,it Serie A,2080,23.1,0,0,1.5999999999999999,1.5999999999999999,1,1.9,32,7,0.0,0.0,21.9,21.6,27,3.1999999999999997,0.17,73.2,39,462,811,7,28,77,34,466,5,49,16.7,54,72
884,Toni Martínez,FW,es ESP,27.0,Alavés,es La Liga,1012,11.2,4,0,3.6,3.6,0,0.6,46,15,0.09,0.2700000000000001,32.6,17.1,11,2.4,0.09000000000000001,58.3,13,162,401,3,70,57,11,272,79,4,53.7,12,13
885,Tyler Dibling,"FW,MF",eng ENG,19.0,Southampton,eng Premier League,1874,20.8,2,0,2.5,2.5,0,1.5,28,9,0.07,0.22,32.1,19.3,20,2.69,0.19,81.3,69,558,868,3,41,96,55,651,10,10,28.6,34,42
887,Umar Sadiq,FW,ng NGA,28.0,"Valencia, Real Sociedad",es La Liga,1052,11.7,5,0,2.7162393162393164,2.7162393162393164,0,0.5931623931623932,25,7,0.2,,28.0,14.3,7,1.5438461538461536,0.25948717948717953,67.8518134715026,14,224,386,2,57,67,30,295,32,3,52.0,12,14
889,Unai Gómez,"MF,FW",es ESP,22.0,Athletic Club,es La Liga,1284,14.3,1,0,1.9000000000000001,1.9000000000000001,3,0.8,19,4,0.05,0.25,21.1,17.5,10,1.61,0.21,73.1,19,235,439,2,21,49,21,271,29,3,48.3,12,14
891,Valentin Mihaila,"FW,MF",ro ROU,25.0,Parma,it Serie A,1288,14.3,0,0,2.4,2.4,3,1.2,31,11,0.0,0.0,35.5,22.1,17,3.36,0.35,75.4,25,332,582,8,31,72,20,389,13,13,32.5,29,37
892,Valentino Lazaro,"DF,FW",at AUT,29.0,Torino,it Serie A,2307,25.6,0,0,1.0,1.0,6,3.3,16,2,0.0,0.0,12.5,19.5,33,2.03,0.31,75.1,35,726,1368,4,27,131,12,868,16,15,39.0,26,37
894,Valentín Castellanos,FW,ar ARG,26.0,Lazio,it Serie A,2384,26.5,10,2,11.1,13.300000000000002,3,3.6,105,36,0.08,0.22,34.3,16.8,26,2.7600000000000002,0.53,67.7,27,423,835,7,155,149,29,618,68,9,53.1,13,19
898,Vedat Muriqi,FW,xk KVX,31.0,Mallorca,es La Liga,2058,22.9,7,2,7.3,9.7,2,2.2,52,16,0.1,0.31,30.800000000000004,12.3,26,1.9700000000000002,0.26,60.6,23,334,733,2,114,103,26,550,135,4,57.9,7,14
899,Victor Boniface,FW,ng NGA,24.0,Leverkusen,de Bundesliga,1008,11.2,8,0,7.1000000000000005,7.800000000000001,1,1.1,50,17,0.16,0.47,34.0,14.5,10,2.86,0.27,70.2,26,207,400,2,77,61,29,319,32,1,59.3,5,5
901,Viktor Tsyhankov,"FW,MF",ua UKR,27.0,Girona,es La Liga,1913,21.3,2,0,2.8,2.8,5,3.9000000000000004,35,9,0.060000000000000005,0.22,25.7,19.9,33,3.0599999999999996,0.38000000000000006,74.2,62,650,1064,8,74,195,25,770,9,10,33.3,19,34
902,Vincenzo Grifo,"FW,MF",it ITA,32.0,Freiburg,de Bundesliga,2432,27.0,8,0,5.6,7.9,11,6.9,63,26,0.13,0.31,41.3,20.8,66,4.48,0.56,76.7,58,939,1768,5,71,147,17,1186,15,19,48.4,30,39
903,Vinicius Júnior,FW,br BRA,24.0,Real Madrid,es La Liga,2253,25.0,11,2,8.2,10.4,8,8.0,78,24,0.12,0.38000000000000006,30.8,17.5,58,5.39,0.72,74.7,169,952,1264,10,199,256,49,1059,1,13,12.5,21,24
904,Vitinha,"FW,MF",pt POR,25.0,Genoa,it Serie A,1328,14.8,2,0,1.6,1.6,3,3.2999999999999994,33,5,0.06,0.4,15.2,20.3,16,2.78,0.2,59.3,38,309,572,5,54,71,34,348,31,19,52.5,23,35
905,Vitor Roque,FW,br BRA,20.0,Betis,es La Liga,1235,13.7,4,0,6.1,6.1,0,1.2,41,18,0.10000000000000002,0.22,43.9,14.5,12,2.48,0.29,72.8,24,213,365,4,57,57,35,239,15,4,34.1,11,18
907,Wahbi Khazri,"FW,MF",tn TUN,34.0,Montpellier,fr Ligue 1,1118,12.4,1,0,2.3,2.3,1,2.2,36,6,0.030000000000000002,0.17,16.7,24.7,18,3.27,0.17,68.0,24,259,486,4,34,53,25,306,8,13,27.6,25,30
909,Wes Burns,"FW,DF",wls WAL,30.0,Ipswich Town,eng Premier League,926,10.3,0,0,0.5,0.5,1,1.5999999999999999,7,1,0.0,0.0,14.3,18.3,10,1.55,0.09999999999999999,60.5,38,216,350,3,18,65,13,220,8,6,27.6,13,23
910,Wesley Saïd,FW,fr FRA,30.0,Lens,fr Ligue 1,905,10.1,3,0,3.2,3.2,0,1.0,17,7,0.18,0.43,41.2,11.2,9,2.69,0.0,77.8,16,185,325,3,41,53,9,239,10,7,38.5,16,18
916,Williot Swedberg,"FW,MF",se SWE,21.0,Celta Vigo,es La Liga,1348,15.0,4,0,5.2,5.2,5,2.6,32,15,0.13,0.2700000000000001,46.9,14.7,16,2.4,0.53,73.3,34,351,562,4,72,116,16,412,8,7,34.8,23,26
922,Yanis Zouaoui,"DF,FW",dz ALG,30.0,Le Havre,fr Ligue 1,976,10.8,0,0,0.1,0.1,2,2.9,5,2,0.0,0.0,40.0,28.6,28,3.69,0.28,68.6,33,319,725,2,8,33,4,364,7,4,63.6,20,28
923,Yankuba Minteh,"FW,MF",gm GAM,20.0,Brighton,eng Premier League,1838,20.4,6,0,4.1,4.1,4,5.0,34,16,0.18,0.38,47.1,13.8,29,3.14,0.64,62.5,90,481,836,10,146,201,28,511,17,28,33.3,48,59
924,Yann Gboho,"MF,FW",fr FRA,24.0,Toulouse,fr Ligue 1,2333,25.9,5,0,5.400000000000001,5.400000000000001,4,3.5,50,26,0.1,0.19,52.0,15.8,30,3.36,0.27,74.2,116,690,953,9,124,189,50,709,5,21,15.599999999999998,31,37
925,Yann Karamoh,"MF,FW",fr FRA,26.0,Torino,it Serie A,1046,11.6,0,0,1.2,1.2,1,0.9,25,6,0.0,0.0,24.0,17.7,9,2.06,0.17,67.0,37,292,412,2,49,80,26,328,5,5,35.7,5,8
926,Yaser Asprilla,"FW,MF",co COL,21.0,Girona,es La Liga,1405,15.6,3,0,2.1,2.1,1,2.8000000000000003,38,11,0.08,0.27,28.900000000000002,22.9,24,3.91,0.44999999999999996,72.1,72,534,831,8,48,140,17,607,4,15,57.1,22,29
927,Yassine Kechta,"MF,FW",ma MAR,23.0,Le Havre,fr Ligue 1,2096,23.3,2,0,2.5,2.5,0,1.2,29,9,0.07,0.22,31.0,25.7,15,2.06,0.17,79.2,44,533,1014,7,27,85,24,627,10,45,27.0,60,86
929,Yeremi Pino,"MF,FW",es ESP,22.0,Villarreal,es La Liga,1934,21.5,4,0,3.9,3.9,7,5.3,29,8,0.14,0.5,27.6,12.8,37,3.12,0.51,73.9,42,565,986,8,104,213,23,668,12,33,42.9,60,68
930,Yoane Wissa,FW,cd COD,28.0,Brentford,eng Premier League,2919,32.4,19,0,18.5,18.5,4,2.6,90,41,0.21,0.45999999999999996,45.6,13.2,27,2.13,0.31,76.5,60,550,925,8,163,154,35,658,30,16,45.5,22,30
937,Yunus Musah,"MF,FW",us USA,22.0,Milan,it Serie A,1571,17.5,0,0,1.9,1.9,2,1.8,22,5,0.0,0.0,22.7,19.5,23,2.58,0.23,87.2,51,581,888,5,37,74,13,671,8,5,36.4,27,34
941,Zakaria Aboukhlal,"MF,FW",ma MAR,25.0,Toulouse,fr Ligue 1,1901,21.1,7,1,8.6,10.2,2,1.6,62,26,0.1,0.23,41.9,14.6,12,1.61,0.33,63.300000000000004,34,375,613,7,113,164,26,450,22,19,36.7,22,28
943,Zito Luvumbo,"FW,MF",ao ANG,23.0,Cagliari,it Serie A,1606,17.8,2,0,2.1,2.1,2,3.1,23,4,0.09,0.5,17.4,16.0,17,1.9599999999999997,0.22,59.9,70,347,477,3,67,125,29,367,6,13,26.1,10,14
944,Zuriko Davitashvili,"FW,MF",ge GEO,24.0,Saint-Étienne,fr Ligue 1,2778,30.9,9,2,6.6,8.1,8,4.7,68,24,0.1,0.29,35.3,19.4,50,3.85,0.5,78.6,95,764,1298,6,123,224,57,905,14,34,23.0,22,36
945,Álex Berenguer,"FW,MF",es ESP,29.0,Athletic Club,es La Liga,2339,26.0,6,0,6.0,6.799999999999999,7,5.0,51,18,0.12,0.33,35.3,18.4,46,3.77,0.54,65.8,65,643,1249,9,86,216,49,809,27,18,35.1,31,41
946,Álvaro García,"FW,MF",es ESP,32.0,Rayo Vallecano,es La Liga,2559,28.4,4,0,7.6,7.6,5,5.0,71,26,0.06,0.15,36.6,16.9,50,3.66,0.25,64.6,68,644,1164,6,127,245,16,746,9,19,33.3,33,65
947,Álvaro Morata,"FW,MF",es ESP,32.0,Milan,it Serie A,1099,12.2,5,0,3.9,3.9,0,0.8,27,10,0.19,0.5,37.0,11.3,7,1.72,0.25,75.4,18,215,383,3,61,63,16,292,14,3,41.2,16,21
952,Óscar Rodríguez Arnaiz,"MF,FW",es ESP,26.0,Leganés,es La Liga,1330,14.8,1,0,2.1,2.1,4,2.2,33,6,0.03,0.17,18.2,25.1,19,3.25,0.61,72.1,24,381,749,6,21,66,14,491,12,18,33.3,32,52
